 | Abstract services| #concrete service  | W0 	 	 | W1 	| W2 	 	| W3 	 	| W4 	 	 |
 | AS14280 			|  2 				 |   567 	 |567 	|  566  	|   567 	|  567 	     |
 | AS15830 			|  10 				 |   2462 	 |2462 	|  2462  	|   2462 	|  2462 	 | 
 | AS31034 			|  29 				 |   1832 	 |1832 	|  1832  	|   1832 	|  1832 	 | 
 | AS13130 			|  1 				 |   1453 	 |1453 	|  1453  	|   1453 	|  1453 	 | 
 | AS29432 			|  1 				 |   1046 	 |1046 	|  1046  	|   1046 	|  1046 	 | 
 | AS20940 			|  1 				 |   4197 	 |4197 	|  4197  	|   4197 	|  4197 	 | 
 | AS8103 			|  2 				 |   3643 	 |3643 	|  3643  	|   3643 	|  3643 	 | 
 | AS21788 			|  4 				 |   4392 	 |4392 	|  4392  	|   4392 	|  4392 	 | 
 | AS11802 			|  1 				 |   173 	 |173 	|  173  	|   173 	|  173 	     |
 | AS34004 			|  1 				 |   1580 	 |1580 	|  1580  	|   1580 	|  1580 	 | 
 | AS3741 			|  1 				 |   2363 	 |2363 	|  2363  	|   2363 	|  2363 	 | 
 | AS9822 			|  8 				 |   28 	 |28 	|  28  	    |   28 	    |  28 	     |
 | AS9829 			|  2 				 |   1559 	 |1565 	|  1559  	|   1559 	|  1559 	 | 
 | AS6360 			|  3 				 |   3723 	 |3725 	|  3723  	|   3723 	|  3723 	 | 
 | AS9299 			|  30 				 |   2146 	 |2146 	|  2146  	|   2146 	|  2146 	 | 
 | AS29650 			|  2 				 |   1586 	 |1586 	|  1583  	|   1586 	|  1586 	 | 
 | AS20141 			|  2 				 |   2253 	 |2253 	|  2253  	|   2253 	|  2253 	 | 
 | AS2907 			|  1 				 |   1888 	 |1888 	|  1888  	|   1888 	|  1888 	 | 
 | AS3598 			|  10 				 |   1948 	 |1948 	|  1948  	|   1948 	|  1948 	 | 
 | AS35732 			|  1 				 |   3114 	 |3114 	|  3114  	|   3114 	|  3114 	 | 
 | AS21499 			|  1 				 |   1429 	 |1429 	|  1429  	|   1429 	|  1429 	 | 
 | AS4766 			|  9 				 |   2237 	 |2237 	|  2226  	|   2237 	|  2237 	 | 
 | AS4768 			|  2 				 |   2054 	 |2054 	|  2053  	|   2054 	|  2054 	 | 
 | AS10223 			|  1 				 |   71 	 |71 	|  71  	    |   71  	|  71   	 |
 | AS39217 			|  1 				 |   1814 	 |1814 	|  1814  	|   1814 	|  1814 	 | 
 | AS3340 			|  1 				 |   1526 	 |1526 	|  1526  	|   1526 	|  1526 	 | 
 | AS39193 			|  1 				 |   1042 	 |1042 	|  1042  	|   1042 	|  1042 	 | 
 | AS20718 			|  1 				 |   2429 	 |2429 	|  2429  	|   2429 	|  2429 	 | 
 | AS32392 			|  1 				 |   839 	 |839 	|  839  	|   839 	|  839 	     |
 | AS7296 			|  10 				 |   4432 	 |4432 	|  4432  	|   4432 	|  4432 	 | 
 | AS6829 			|  1 				 |   2116 	 |2116 	|  2116  	|   2116 	|  2116 	 | 
 | AS3527 			|  1 				 |   4369 	 |4369 	|  4369  	|   4369 	|  4369 	 | 
 | AS16941 			|  2 				 |   580 	 |580 	|  580  	|   580 	|  580 	     |
 | AS3288 			|  2 				 |   1622 	 |1623 	|  1622  	|   1622 	|  1622 	 | 
 | AS21568 			|  1 				 |   4290 	 |4290 	|  4290  	|   4290 	|  4290 	 | 
 | AS2833 			|  3 				 |   2468 	 |2468 	|  2468  	|   2468 	|  2468 	 | 
 | AS21409 			|  7 				 |   1136 	 |1136 	|  1136  	|   1136 	|  1136 	 | 
 | AS17964 			|  1 				 |   812 	 |812 	|  812  	|   812 	|  812 	     |
 | AS23498 			|  2 				 |   542 	 |542 	|  542  	|   542 	|  542 	     |
 | AS6744 			|  1 				 |   1504 	 |1504 	|  1504  	|   1504 	|  1504 	 | 
 | AS42695 			|  2 				 |   2503 	 |2504 	|  2503  	|   2504 	|  2503 	 | 
 | AS20284 			|  8 				 |   1554 	 |1554 	|  1547  	|   1554 	|  1554 	 | 
 | AS22576 			|  1 				 |   3680 	 |3680 	|  3680  	|   3680 	|  3680 	 | 
 | AS297 			|  1 				 |   3910 	 |3910 	|  3910  	|   3910 	|  3910 	 | 
 | AS42915 			|  3 				 |   1590 	 |1590 	|  1588  	|   1590 	|  1590 	 | 
 | AS12810 			|  1 				 |   910 	 |910 	|  910  	|   910 	|  910 	     |
 | AS11329 			|  12 				 |   4281 	 |4281 	|  4281  	|   4281 	|  4281 	 | 
 | AS6487 			|  1 				 |   1507 	 |1507 	|  1507  	|   1507 	|  1507 	 | 
 | AS852 			|  7 				 |   4125 	 |4126 	|  533  	|   4125 	|  4125 	 | 
 | AS20218 			|  1 				 |   2112 	 |2112 	|  2112  	|   2112 	|  2112 	 | 
 | AS24867 			|  1 				 |   1019 	 |1019 	|  1019  	|   1019 	|  1019 	 | 
 | AS10954 			|  2 				 |   187 	 |187 	|  187  	|   187 	|  187 	     |
 | AS8586 			|  5 				 |   3019 	 |3019 	|  3019  	|   3019 	|  3019 	 | 
 | AS41186 			|  1 				 |   1199 	 |1199 	|  1199  	|   1199 	|  1199 	 | 
 | AS679 			|  3 				 |   103 	 |103 	|  103  	|   103 	|  103 	     |
 | AS45753 			|  1 				 |   800 	 |800 	|  800  	|   800 	|  800 	     |
 | AS44112 			|  1 				 |   2285 	 |2285 	|  2285  	|   2285 	|  2285 	 | 
 | AS24940 			|  6 				 |   896 	 |896 	|  896  	|   896 	|  896 	     |
 | AS22047 			|  2 				 |   612 	 |613 	|  612  	|   612 	|  612 	     |
 | AS14701 			|  1 				 |   4045 	 |4045 	|  4045  	|   4045 	|  4045 	 | 
 | AS15793 			|  1 				 |   2518 	 |2518 	|  2518  	|   2518 	|  2518 	 | 
 | AS11398 			|  3 				 |   3533 	 |3533 	|  3533  	|   3533 	|  3533 	 | 
 | AS26611 			|  1 				 |   4490 	 |4490 	|  4490  	|   4490 	|  4490 	 | 
 | AS21396 			|  1 				 |   3094 	 |3094 	|  3094  	|   3094 	|  3094 	 | 
 | AS12788 			|  1 				 |   2672 	 |2672 	|  2672  	|   2672 	|  2672 	 | 
 | AS19262 			|  14 				 |   3900 	 |3900 	|  3900  	|   3900 	|  3900 	 | 
 | AS20860 			|  4 				 |   2357 	 |2357 	|  2357  	|   2357 	|  2357 	 | 
 | AS25563 			|  3 				 |   2571 	 |2571 	|  2571  	|   2571 	|  2571 	 | 
 | AS271 			|  17 				 |   527 	 |527 	|  527  	|   527 	|  527 	     |
 | AS174 			|  4 				 |   3615 	 |3615 	|  3615  	|   3615 	|  3615 	 | 
 | AS33070 			|  13 				 |   4154 	 |4154 	|  4154  	|   4154 	|  4154 	 | 
 | AS11172 			|  4 				 |   1904 	 |1904 	|  1904  	|   1904 	|  1904 	 | 
 | AS14415 			|  13 				 |   4119 	 |4119 	|  4120  	|   4119 	|  4119 	 | 
 | AS4193 			|  1 				 |   4004 	 |4004 	|  4004  	|   4004 	|  4004 	 | 
 | AS12670 			|  1 				 |   1187 	 |1187 	|  1187  	|   1187 	|  1187 	 | 
 | AS11427 			|  2 				 |   4177 	 |4177 	|  4177  	|   4177 	|  4177 	 | 
 | AS50517 			|  3 				 |   2304 	 |2306 	|  2304  	|   2306 	|  2304 	 | 
 | AS34886 			|  4 				 |   1602 	 |1602 	|  1602  	|   1602 	|  1602 	 | 
 | AS9100 			|  2 				 |   2541 	 |2541 	|  2541  	|   2541 	|  2541 	 | 
 | AS12552 			|  1 				 |   2086 	 |2086 	|  2086  	|   2086 	|  2086 	 | 
 | AS16265 			|  2 				 |   2018 	 |2665 	|  2018  	|   2665 	|  2018 	 | 
 | AS21369 			|  3 				 |   3095 	 |3095 	|  3095  	|   3095 	|  3095 	 | 
 | AS8560 			|  43 				 |   1298 	 |1298 	|  1298  	|   1298 	|  1298 	 | 
 | AS8400 			|  1 				 |   2311 	 |2311 	|  2311  	|   2311 	|  2311 	 | 
 | AS5050 			|  4 				 |   3585 	 |3586 	|  3584  	|   3585 	|  3585 	 | 
 | AS22822 			|  10 				 |   1407 	 |1407 	|  1407  	|   1407 	|  1407 	 | 
 | AS7057 			|  1 				 |   4323 	 |4323 	|  4323  	|   4323 	|  4323 	 | 
 | AS12322 			|  12 				 |   1161 	 |1161 	|  1161  	|   1161 	|  1161 	 | 
 | AS29354 			|  1 				 |   1455 	 |1455 	|  1455  	|   1455 	|  1455 	 | 
 | AS25019 			|  1 				 |   2307 	 |2307 	|  2307  	|   2307 	|  2307 	 | 
 | AS9191 			|  1 				 |   3031 	 |3031 	|  3031  	|   3031 	|  3031 	 | 
 | AS25394 			|  7 				 |   1308 	 |1308 	|  1308  	|   1308 	|  1308 	 | 
 | AS9198 			|  1 				 |   1894 	 |1894 	|  1894  	|   1894 	|  1894 	 | 
 | AS12252 			|  2 				 |   2127 	 |2127 	|  2127  	|   2127 	|  2127 	 | 
 | AS13301 			|  6 				 |   1487 	 |1487 	|  1382  	|   1487 	|  1487 	 | 
 | AS13121 			|  6 				 |   2666 	 |2666 	|  2666  	|   2666 	|  2666 	 | 
 | AS13122 			|  1 				 |   3053 	 |3053 	|  3053  	|   3053 	|  3053 	 | 
 | AS13041 			|  24 				 |   2375 	 |2368 	|  2375  	|   2375 	|  2375 	 | 
 | AS15806 			|  7 				 |   1566 	 |1576 	|  1566  	|   1576 	|  1566 	 | 
 | AS13046 			|  1 				 |   911 	 |911 	|  911  	|   911 	|  911 	     |
 | AS47199 			|  1 				 |   997 	 |997 	|  997  	|   997 	|  997 	     |
 | AS31283 			|  1 				 |   2106 	 |2106 	|  2106  	|   2106 	|  2106 	 | 
 | AS47720 			|  3 				 |   1569 	 |1571 	|  1569  	|   1569 	|  1569 	 | 
 | AS11955 			|  12 				 |   3882 	 |3888 	|  3882  	|   3882 	|  3882 	 | 
 | AS34401 			|  3 				 |   4326 	 |4326 	|  4326  	|   4326 	|  4326 	 | 
 | AS8075 			|  11 				 |   3830 	 |4183 	|  12   	|   4183 	|  3830 	 |
 | AS10429 			|  1 				 |   202 	 |202 	|  202  	|   202 	|  202  	 |
 | AS33821 			|  2 				 |   2256 	 |2258 	|  2256  	|   2256 	|  2256 	 | 
 | AS21155 			|  9 				 |   2013 	 |2013 	|  2013  	|   2013 	|  2013 	 | 
 | AS6799 			|  2 				 |   1499 	 |1499 	|  1499  	|   1499 	|  1499 	 | 
 | AS13601 			|  1 				 |   4273 	 |4273 	|  4273  	|   4273 	|  4273 	 | 
 | AS34086 			|  1 				 |   1436 	 |1436 	|  1436  	|   1436 	|  1436 	 | 
 | AS34087 			|  1 				 |   2107 	 |2107 	|  2107  	|   2107 	|  2107 	 | 
 | AS9287 			|  1 				 |   2623 	 |2623 	|  2623  	|   2623 	|  2623 	 | 
 | AS39451 			|  4 				 |   3017 	 |3017 	|  3017  	|   3017 	|  3017 	 | 
 | AS23148 			|  5 				 |   583 	 |4233 	|  583  	|   4233 	|  583  	 |
 | AS35686 			|  1 				 |   2184 	 |2184 	|  2184  	|   2184 	|  2184 	 | 
 | AS18239 			|  1 				 |   806 	 |806 	|  806  	|   806 	|  806 	     |
 | AS31463 			|  2 				 |   3056 	 |3056 	|  3056  	|   3056 	|  3056 	 | 
 | AS29944 			|  3 				 |   4223 	 |4224 	|  4223  	|   4223 	|  4223 	 | 
 | AS35041 			|  2 				 |   2514 	 |2533 	|  2514  	|   2533 	|  2514 	 | 
 | AS3356 			|  20 				 |   3091 	 |3091 	|  3091  	|   3091 	|  3091 	 | 
 | AS3058 			|  1 				 |   2299 	 |2299 	|  2299  	|   2299 	|  2299 	 | 
 | AS20773 			|  6 				 |   2548 	 |2548 	|  1348  	|   2548 	|  2548 	 | 
 | AS3359 			|  47 				 |   492 	 |492 	|  492  	|   492 	|  492  	 |
 | AS14744 			|  1 				 |   2511 	 |2511 	|  2511  	|   2511 	|  2511 	 | 
 | AS32244 			|  4 				 |   4397 	 |4397 	|  4397  	|   4397 	|  4397 	 | 
 | AS53070 			|  1 				 |   201 	 |201 	|  201  	|   201 	|  201  	 |
 | AS43059 			|  2 				 |   985 	 |985 	|  985  	|   985 	|  985  	 |
 | AS6830 			|  2 				 |   1579 	 |1584 	|  1579  	|   1584 	|  1584 	 | 
